medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
E3BE706403627C3D4BF57BB0224067C0,897FE19636F950A89899CE6DB3AFD03A,VTS,1,,2013-07-02 20:23:00,2013-07-02 20:39:00,1,960,2.12,-73.973618,40.738003,-73.986046,40.731117
A9626C2CDA014D2A02529ECB953277D2,6A4901A00917CED71D0746D046AB5DA3,VTS,1,,2013-07-02 20:32:00,2013-07-02 20:40:00,1,480,.95,-73.973557,40.751518,-73.966347,40.758274
6D49B29F6D1718B6BEC71F1B9EDD7FF9,E1F20039FC1216219AA96A512FA00BC3,VTS,1,,2013-07-02 23:15:00,2013-07-02 23:26:00,1,660,3.42,-73.973923,40.788994,-73.941269,40.828831
6F9620ED8344537A5DF87711B6A5B561,B986A27B349469F521EE108348C5C1ED,VTS,1,,2013-07-02 21:41:00,2013-07-02 21:53:00,5,720,1.69,-73.993645,40.741745,-73.990471,40.751221
E4FDD544FDE762D4D320A4A8A17F4039,6CCFE6F27629B49AEDDB280286F4C3DF,VTS,1,,2013-07-02 23:16:00,2013-07-02 23:24:00,1,480,1.52,-73.978119,40.751724,-73.977638,40.735317
B829328EA1FD44C4AB33715AC1DBE425,110CE0CBEE1742AF232C1547352A818D,VTS,1,,2013-07-02 22:23:00,2013-07-02 22:31:00,2,480,1.35,-73.994034,40.741291,-73.990028,40.729633
E9810A32F0E149A78AA6C1F3BF6A4BD5,AD9E57DE83060B3240F8FC6BBA99237B,VTS,1,,2013-07-03 01:04:00,2013-07-03 01:19:00,6,900,4.19,-73.987221,40.729362,-73.982819,40.774158
13A5414AFFDE26BA4A3510BB3414FDCD,B57F4989DB32ED4D4CC2A9CFDED8AEDB,VTS,1,,2013-07-03 00:07:00,2013-07-03 00:16:00,1,540,2.48,-73.960876,40.772404,-73.96347,40.798328
D588948C1EE33D5EE6EB3487D2A85C10,196B5C2C6CE9B86077FECDA9FA6CACBE,VTS,1,,2013-07-02 20:46:00,2013-07-02 21:02:00,5,960,3.38,-73.990158,40.761723,-74.008118,40.716911
8201339ED22D2EF093219D39A166346D,FEF65037B33F46C8FECDDDACC0DC9ECE,VTS,1,,2013-07-02 21:41:00,2013-07-02 21:56:00,6,900,3.06,-73.975754,40.759506,-74.007065,40.741726
689C3080CB309E2020A29B205F559993,F37DCC403AC14C897DEF66219E5476C1,VTS,1,,2013-07-03 01:00:00,2013-07-03 01:06:00,1,360,.85,-73.971916,40.758694,-73.986221,40.756248
3C488C15DFB2E33461EE2FF0E0146E91,8713822CE1581026E2A39CBE115407BA,VTS,1,,2013-07-02 23:18:00,2013-07-02 23:29:00,6,660,2.10,-73.988121,40.73465,-73.987686,40.756275
85A0E951DD0D3C758503D5089DBE93A0,5F4B79F588664D606AB33FBCD971D48B,VTS,4,,2013-07-02 23:02:00,2013-07-02 23:10:00,1,480,1.84,-73.978149,40.737438,-73.963081,40.759987
ABBFB2FEC4DE7D40BB11E8445ACA33DD,963733B0340699CB4FA048D682039A84,VTS,1,,2013-07-03 00:14:00,2013-07-03 00:29:00,1,900,4.24,-73.980972,40.747543,-74.00531,40.715527
B013988D2B47544C4683A41C2AA8E903,EDCDADAA9D41BA90B84F6983B2F85ABA,VTS,1,,2013-07-02 21:20:00,2013-07-02 21:36:00,4,960,3.31,-73.952019,40.714931,-73.988937,40.694946
CAC1EDFA3030AE06FDE1E572BC5B050C,F4AB11D00CC15EB1457E93AF2D142092,VTS,1,,2013-07-03 01:00:00,2013-07-03 01:16:00,1,960,2.70,-73.959198,40.716511,-73.940285,40.694271
423AEBC756279E5DA0B28518B7DA8844,487599945A223780CEF047EA55746ECB,VTS,1,,2013-07-03 02:15:00,2013-07-03 02:22:00,5,420,2.49,-73.984772,40.728233,-73.96212,40.759266
A9DC75D59E0EA27E1ED328E8BE8CD828,94E1D7C28F66ED93BD4A90B74FAB7356,VTS,1,,2013-07-03 04:47:00,2013-07-03 04:56:00,6,540,2.14,-73.977234,40.784424,-73.951523,40.769775
87D9A9CE278E8CEA76060CECE713589A,6EAC42CCC7CB1DA39D1B58DE160EF339,VTS,1,,2013-07-02 22:22:00,2013-07-02 22:23:00,1,60,.12,-73.969002,40.757584,-73.970497,40.758457
974CEB992FB574CA3852AD7AA681E519,744CB6C581D75619D11E83B12AB75276,VTS,1,,2013-07-03 00:10:00,2013-07-03 00:37:00,1,1620,13.50,-73.983749,40.694073,-73.927605,40.852661
6C837CE001AB76E2E95A3E362B5C74B8,3734421E51AC38C145E9D4F98A1AD56D,VTS,1,,2013-07-02 23:05:00,2013-07-02 23:17:00,1,720,3.29,-73.992195,40.724571,-73.944618,40.714508
6133F218393DE520E73324B1822E0E25,93FEB96495E8C05E802A10034BE59F30,VTS,1,,2013-07-02 23:15:00,2013-07-02 23:20:00,2,300,.84,-73.982323,40.759682,-73.991547,40.759838
F2751CE89ED7E006D8E9C243FC31D01C,0747F87EFE3D6B5697F97607A6352962,VTS,1,,2013-07-02 23:57:00,2013-07-03 00:09:00,2,720,2.54,-73.989075,40.743729,-73.962601,40.760437
3EC41700C54B28F6A2C3528ED9D2F2A2,5436A39D022D621CB217AD5C84604FAC,VTS,1,,2013-07-02 21:06:00,2013-07-02 21:20:00,1,840,2.53,-73.972496,40.759357,-74.002983,40.747311
8336E984996B06D27AE3782D51BA7F50,702C2D1618190AD7DAE1D25008F8084F,VTS,1,,2013-07-03 06:55:00,2013-07-03 06:57:00,5,120,.55,-73.992195,40.749275,-73.996574,40.742893
85C1F31BEA911220B707D523EECBC5C7,02AABC8F26470042325B9CBBBD49122E,VTS,1,,2013-07-02 22:17:00,2013-07-02 22:23:00,1,360,1.99,-73.98243,40.774811,-73.972252,40.799004
21DCFCF80BDF27C16D07165FC31B78F2,1A2F7BE1200B1F062A004DE0350E7773,VTS,1,,2013-07-03 05:15:00,2013-07-03 05:28:00,1,780,3.64,-73.95929,40.763393,-74.003639,40.753479
14FBE82D9A3D1F783117D698E2A7A942,97B298309A9609198E345D186E2E16B4,VTS,1,,2013-07-02 23:42:00,2013-07-03 00:05:00,1,1380,.70,-73.956497,40.718964,-73.981796,40.666473
C872BA0E7CB2F667798D159ED6EF4988,53BDE805B3C02F2C2DFB48CDD021ACC8,VTS,1,,2013-07-03 00:25:00,2013-07-03 00:34:00,1,540,1.91,-73.935226,40.697136,-73.963631,40.710896
04D107A378DC761FDA5E92362DCA24E3,1D25C77C402CA0A9CAD8531EFCEC02F9,VTS,1,,2013-07-03 00:40:00,2013-07-03 00:46:00,1,360,2.44,-73.981819,40.753761,-73.955078,40.773388
66E4F52E591854BB56D4EF5EC1C65B37,C59EF4EFD65698D070D14AF013B3C2AE,VTS,1,,2013-07-02 23:39:00,2013-07-02 23:51:00,1,720,2.26,-73.992294,40.724628,-73.993477,40.747128
A586D6957958565CFFE7B08DC5A233E0,114929005EC2DE8EBBFA1566445F50B1,VTS,1,,2013-07-03 00:09:00,2013-07-03 00:29:00,1,1200,10.04,-73.870773,40.773571,-73.989182,40.72662
9663D86FFBFA29D35D3BDF9B3F9D0E32,05125B8C952110BCCCC66797647746CE,VTS,1,,2013-07-03 00:51:00,2013-07-03 00:54:00,1,180,.79,-73.990776,40.740005,-73.981712,40.734234
B293D6A8A232BE1C6D6A3E094BC50B51,172FFF3F527C57CBB1FD66634900C60A,VTS,1,,2013-07-03 08:01:00,2013-07-03 08:12:00,2,660,1.86,-73.944077,40.788288,-73.960907,40.765442
4CF1844ACD94BB5936B1774FC8B671C2,9F430BB17904B5915F7A790EF5960874,VTS,1,,2013-07-03 07:27:00,2013-07-03 07:30:00,1,180,.60,-73.979561,40.723148,-73.98806,40.72287
F623544638D5DDAF52E95E31FFDF48E1,6A6CB206C3AA864BE2D954CA2AE05DE2,VTS,1,,2013-07-03 06:21:00,2013-07-03 06:30:00,2,540,4.72,-73.978531,40.788021,-73.942986,40.840313
1AABA72EE93B8066C6A4FE096B6D4E01,03AD3D54D61E6212A33C330C575A7AB6,VTS,1,,2013-07-03 06:23:00,2013-07-03 06:39:00,1,960,6.06,-73.925095,40.761902,-73.985168,40.725857
E0E661BA81D26F25B9EA9591719C80A9,A7605F2927D05AD8F8C81F0FBBD85175,VTS,1,,2013-07-03 03:02:00,2013-07-03 03:09:00,1,420,1.63,-74.004364,40.742249,-73.984825,40.72884
8B68B64EBC59A79618C97A5F758C592B,9066D384341267A348BAE552BB05B0DD,VTS,1,,2013-07-03 01:00:00,2013-07-03 01:05:00,1,300,1.84,-73.958466,40.713192,-73.985069,40.719189
307EAF9CA51FE5B085ACE93065C7E760,80CD9D08EA70D3B15CDB89AF2817FD1D,VTS,1,,2013-07-03 05:01:00,2013-07-03 05:16:00,1,900,4.18,-74.000267,40.729153,-73.940048,40.708359
43057FB083859B36F315957709DC6107,618D8AA7B1C19AD6746A207F534A9E6B,VTS,1,,2013-07-02 21:39:00,2013-07-02 21:49:00,2,600,1.84,-74.005234,40.720795,-74.01342,40.709396
40DC4146B748648E98C4E9DDD0156405,7DA165D988B53D4E093BF379A1134C53,VTS,1,,2013-07-03 03:10:00,2013-07-03 03:21:00,1,660,3.11,-73.971909,40.761181,-74.005821,40.732944
059E5BF1D421092E005D3A74304CEED3,E3A6D38FE31198AB104AD3B9E599114D,VTS,1,,2013-07-03 03:45:00,2013-07-03 03:52:00,1,420,2.39,-73.959541,40.711361,-73.986389,40.726162
065C6702271E0D2EC8F00FD2933E7A0D,0208377F3D317603E171D85039F4C74D,VTS,1,,2013-07-03 08:37:00,2013-07-03 09:05:00,1,1680,3.09,-73.993248,40.727943,-73.981316,40.762611
72CD1200AA68EFDA9278DF0F96F58E42,1EC5DFCB93AFA81FAF96A8F8C82C9F37,VTS,1,,2013-07-03 07:50:00,2013-07-03 07:55:00,1,300,.44,-73.980415,40.757839,-73.975365,40.755684
8392B2866F21F365DA79825DAD4A0189,A68D39054B9342A8A1D991B229EF1859,VTS,1,,2013-07-03 07:30:00,2013-07-03 07:42:00,1,720,2.56,-73.997627,40.756577,-73.962448,40.758671
0C3D03822EC2B0DAABC565EF330580E9,C517E32BB18C1E2ED859947B25629103,VTS,1,,2013-07-03 06:39:00,2013-07-03 06:49:00,1,600,2.90,-74.009064,40.738815,-73.974579,40.753632
8F99A68EA2D609709EBA06E2C14D5C39,E78E5EB8A3F9C0CA3361339BC84F9B07,VTS,1,,2013-07-02 23:18:00,2013-07-02 23:44:00,1,1560,9.37,-73.963608,40.771057,-73.977371,40.681026
54930E4C504B585AB486037C0BEB19CD,BA14E40ADB74F48D08E6D08716D026FA,VTS,1,,2013-07-02 23:38:00,2013-07-02 23:49:00,2,660,2.98,-73.966454,40.804638,-73.981339,40.765778
D23988E656D79B1F838F593495EE6235,8540C7E96EE25BAEB6C5B9979A6EFBA4,VTS,1,,2013-07-03 04:02:00,2013-07-03 04:07:00,5,300,1.19,-73.982773,40.760971,-73.97097,40.764317
D6892CBB7611985DC3EFB6239BB35E74,C4B3B913C147F365D51B7390B1F48BD3,VTS,1,,2013-07-02 23:46:00,2013-07-02 23:57:00,1,660,7.49,-73.865211,40.770306,-73.941132,40.816048
1E6EAAD3A17626E43F402971CA975B1F,8C972BC0D14B2BF6B13025AFDDE21C8C,VTS,1,,2013-07-03 05:45:00,2013-07-03 05:55:00,1,600,3.68,-73.987709,40.755028,-73.950279,40.783787
B6BCBE595116CFC930EEF414717EEDDB,3629EDC501F2200F8885C71A6AFBC4E1,VTS,1,,2013-07-03 05:54:00,2013-07-03 05:59:00,1,300,1.53,-73.994148,40.751205,-73.987343,40.768478
430D7E81CB45708C7F9E7AC8554C5049,EB6A1C4BC05463BB9F5FA814E52BB45C,VTS,1,,2013-07-03 08:18:00,2013-07-03 08:33:00,5,900,2.17,-73.95182,40.773502,-73.974915,40.756931
E66BD24BB6A6AEF1AEC0B98F73EBFDE5,730C87C66C9745003D3CF63365D51869,VTS,1,,2013-07-03 09:14:00,2013-07-03 09:34:00,1,1200,3.04,-74.009216,40.713608,-73.982697,40.739468
DE39A9417CFA16FFCDDBD9942F7FBBEF,3BF4A6F874B2409F8AF73BFD78E388AD,VTS,1,,2013-07-03 07:54:00,2013-07-03 08:04:00,2,600,1.17,-73.973717,40.755672,-73.961411,40.766808
73A0C178888FDAB55F59FE1A1E640373,BBF7FFBB17AA3298F5A359A0B9F1920E,VTS,1,,2013-07-03 08:37:00,2013-07-03 08:42:00,1,300,1.06,-73.96994,40.797207,-73.96196,40.810692
856B117CD1125443D83110CCB40BC413,7BED8345806B5654C8CA13A602AAF33B,VTS,1,,2013-07-03 08:28:00,2013-07-03 08:39:00,1,660,2.14,-73.952522,40.7868,-73.963455,40.761955
51BD5B8FFAE59AF7D719E6EA81BB2BFA,6051F86997E5DC658793EA1D2CA54029,VTS,1,,2013-07-03 09:38:00,2013-07-03 09:48:00,1,600,.82,-73.984367,40.76202,-73.982239,40.768288
58A86E2767A7B1F109F02913297CB847,B151BE19623CD533B0269E29F9EEA446,VTS,1,,2013-07-03 08:34:00,2013-07-03 08:39:00,1,300,.44,-74.006866,40.707409,-74.011162,40.703041
E0AA965A6EF756AD2C5FBF64E5257F3C,9A1D94EA5DF612C88932A779962E1229,VTS,1,,2013-07-03 07:30:00,2013-07-03 07:41:00,1,660,.88,-73.989372,40.758484,-74.000008,40.758698
8F1DBE78C521F384A55AD0C77F75545D,FE7B3C0B6ED8351FD9DEC136858E0A66,VTS,1,,2013-07-03 08:27:00,2013-07-03 08:44:00,1,1020,1.39,-73.991425,40.755562,-73.973351,40.758221
517C6B330DBB3F055D007B07512628B3,4F88D34C9505CE1C73A6C2DDE3CEC519,VTS,1,,2013-07-03 08:33:00,2013-07-03 08:44:00,1,660,2.16,-73.991531,40.750156,-74.004509,40.732079
16183FABEA1B2C53821A44CBFA0C1907,4034B61F66B8254CCE27597C7904FDE8,VTS,1,,2013-07-03 11:02:00,2013-07-03 11:15:00,3,780,1.94,-73.988426,40.737278,-73.983032,40.758961
5AC6992C1585FD1821B26E4952EF1F46,C0691EC856CD501C0B54E7BFD0715212,VTS,1,,2013-07-03 09:49:00,2013-07-03 09:57:00,1,480,1.61,-73.981026,40.737778,-73.999207,40.730038
EB64402E0D86DCFE2298FED39CBD7B0A,1BB01030FE0FD650FB1D74805B9246EA,VTS,1,,2013-07-03 09:26:00,2013-07-03 09:34:00,1,480,1.20,-73.987953,40.745838,-73.981049,40.759701
